         2965999 function calls (2961950 primitive calls) in 8.885 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8809    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1809    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x55ad668a09c0}
     4059    0.001    0.000    0.002    0.000 sre_parse.py:207(match)
      337    0.001    0.000    0.001    0.000 pyparsing.py:1121(__init__)
      634    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     2664    0.001    0.000    0.001    0.000 stat.py:55(S_ISLNK)
        1    0.001    0.001    0.044    0.044 __init__.py:106(<module>)
     1006    0.001    0.000    0.012    0.000 version.py:74(__init__)
      471    0.001    0.000    0.008    0.000 copy.py:66(copy)
        1    0.001    0.001    0.005    0.005 urllib.py:23(<module>)
     6277    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       28    0.001    0.000    0.144    0.005 __init__.py:692(add_entry)
        7    0.001    0.000    0.001    0.000 case.py:608(_deprecate)
     2484    0.001    0.000    0.003    0.000 version.py:47(__lt__)
        1    0.001    0.001    0.295    0.295 pkgdata.py:18(<module>)
     2488    0.001    0.000    0.003    0.000 version.py:53(__eq__)
     3028    0.001    0.000    0.001    0.000 version.py:244(<genexpr>)
        2    0.001    0.000    0.005    0.003 __init__.py:45(<module>)
        1    0.001    0.001    0.002    0.002 numeric.py:1(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:15(<module>)
      302    0.001    0.000    0.038    0.000 __init__.py:2510(_version_from_file)
      644    0.001    0.000    0.002    0.000 __init__.py:1541(_fn)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of 'file' objects}
      365    0.001    0.000    0.002    0.000 __init__.py:2275(file_ns_handler)
       70    0.001    0.000    0.007    0.000 __init__.py:1877(get_metadata)
      100    0.001    0.000    0.001    0.000 {pygame.draw.circle}
        1    0.001    0.001    0.006    0.006 utils.py:4(<module>)
     1385    0.001    0.000    0.001    0.000 {hasattr}
     1505    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     3852    0.001    0.000    0.002    0.000 __init__.py:2307(_normalize_cached)
     3804    0.001    0.000    0.001    0.000 version.py:298(_parse_letter_version)
     4272    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       70    0.001    0.000    0.001    0.000 {method 'splitlines' of 'unicode' objects}
       99    0.001    0.000    0.005    0.000 sre_compile.py:433(_compile_info)
      395    0.001    0.000    0.002    0.000 __init__.py:3052(_find_adapter)
      200    0.001    0.000    0.031    0.000 __init__.py:2263(fixup_namespace_packages)
      500    0.001    0.000    0.001    0.000 sre_compile.py:428(_simple)
      502    0.001    0.000    0.003    0.000 genericpath.py:46(isdir)
      626    0.001    0.000    0.001    0.000 pkgutil.py:364(get_importer)
