         2965999 function calls (2961950 primitive calls) in 8.885 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 compat.py:2(<module>)
      195    0.000    0.000    0.000    0.000 pyparsing.py:3351(<genexpr>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:338(_add_integer_aliases)
        3    0.000    0.000    0.000    0.000 __init__.py:494(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 _structures.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _numpysurfarray.py:45(<module>)
       22    0.000    0.000    0.046    0.002 __init__.py:1995(_by_version_descending)
        1    0.000    0.000    0.004    0.004 platform.py:10(<module>)
      205    0.000    0.000    0.000    0.000 {imp.acquire_lock}
       21    0.000    0.000    0.000    0.000 numerictypes.py:216(_evalname)
       38    0.000    0.000    0.000    0.000 pyparsing.py:4189(__init__)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
      102    0.000    0.000    0.000    0.000 {method 'zfill' of 'str' objects}
       16    0.000    0.000    0.000    0.000 abc.py:105(register)
      205    0.000    0.000    0.000    0.000 {imp.release_lock}
        1    0.000    0.000    0.000    0.000 numerictypes.py:781(_construct_lookups)
       30    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:4(<module>)
       11    0.000    0.000    0.000    0.000 pyparsing.py:3810(__init__)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
       22    0.000    0.000    0.001    0.000 __init__.py:2302(normalize_path)
        1    0.000    0.000    0.000    0.000 six.py:689(exec_)
      126    0.000    0.000    0.000    0.000 six.py:88(__init__)
      415    0.000    0.000    0.000    0.000 {globals}
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
      141    0.000    0.000    0.000    0.000 pyparsing.py:3502(<genexpr>)
       42    0.000    0.000    0.000    0.000 __init__.py:2315(_is_egg_path)
      526    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
       73    0.000    0.000    0.000    0.000 collections.py:375(<genexpr>)
       82    0.000    0.000    0.000    0.000 pyparsing.py:340(__new__)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
       18    0.000    0.000    0.000    0.000 core.py:1021(__init__)
      280    0.000    0.000    0.000    0.000 {method 'strip' of 'unicode' objects}
       70    0.000    0.000    0.000    0.000 codecs.py:253(__init__)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 __init__.py:350(__init__)
       30    0.000    0.000    0.000    0.000 getlimits.py:26(_fr1)
       64    0.000    0.000    0.000    0.000 pyparsing.py:1328(preParse)
        1    0.000    0.000    0.000    0.000 sndarray.py:45(<module>)
     12/2    0.000    0.000    0.001    0.000 pyparsing.py:1885(makeOptionalList)
        1    0.000    0.000    0.000    0.000 _compat.py:20(with_metaclass)
        5    0.000    0.000    0.000    0.000 getlimits.py:507(__init__)
       22    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       16    0.000    0.000    0.001    0.000 pyparsing.py:1181(setResultsName)
      176    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       78    0.000    0.000    0.000    0.000 _internal.py:714(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:1822(_index)
       73    0.000    0.000    0.000    0.000 collections.py:373(<genexpr>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:183(_socketobject)
        2    0.000    0.000    0.001    0.000 pyparsing.py:2822(__init__)
       70    0.000    0.000    0.000    0.000 __init__.py:1871(__init__)
       50    0.000    0.000    0.000    0.000 six.py:177(_add_module)
       13    0.000    0.000    0.000    0.000 zipfile.py:287(__init__)
       39    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
       20    0.000    0.000    0.000    0.000 pyparsing.py:2666(parseImpl)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       52    0.000    0.000    0.001    0.000 linecache.py:33(getlines)
       43    0.000    0.000    0.000    0.000 six.py:105(__init__)
        1    0.000    0.000    0.001    0.001 linecache.py:72(updatecache)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3788(__init__)
      190    0.000    0.000    0.000    0.000 __init__.py:2555(_reload_version)
        1    0.000    0.000    0.000    0.000 ssl.py:130(<dictcomp>)
        1    0.000    0.000    0.001    0.001 random.py:100(seed)
        4    0.000    0.000    0.000    0.000 __init__.py:1564(_setup_prefix)
        1    0.000    0.000    0.000    0.000 {posix.urandom}
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
       78    0.000    0.000    0.000    0.000 pyparsing.py:2011(leaveWhitespace)
       72    0.000    0.000    0.000    0.000 numerictypes.py:127(english_lower)
     15/4    0.000    0.000    0.000    0.000 pyparsing.py:3721(streamline)
       19    0.000    0.000    0.000    0.000 functools.py:39(wraps)
       60    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
        3    0.000    0.000    0.000    0.000 utils.py:74(__call__)
       36    0.000    0.000    0.000    0.000 getlimits.py:69(<lambda>)
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
       97    0.000    0.000    0.000    0.000 pyparsing.py:4740(<genexpr>)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
       65    0.000    0.000    0.000    0.000 pyparsing.py:2118(streamline)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
       95    0.000    0.000    0.000    0.000 pyparsing.py:180(<genexpr>)
       22    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4640(originalTextFor)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
       43    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:640(__iadd__)
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:2197(_rebuild_mod_path)
        2    0.000    0.000    0.000    0.000 {_ssl.txt2obj}
       17    0.000    0.000    0.000    0.000 posixpath.py:82(split)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:4716(<lambda>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:451(_set_array_types)
    13/12    0.000    0.000    0.000    0.000 pyparsing.py:3393(__str__)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
       38    0.000    0.000    0.000    0.000 six.py:184(find_module)
       14    0.000    0.000    0.000    0.000 __init__.py:1639(<genexpr>)
        1    0.000    0.000    0.012    0.012 specifiers.py:275(Specifier)
       34    0.000    0.000    0.000    0.000 {sys._getframe}
       55    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4409(delimitedList)
       10    0.000    0.000    0.000    0.000 {posix.getcwd}
        6    0.000    0.000    0.000    0.000 __init__.py:2213(position_in_sys_path)
        1    0.000    0.000    0.000    0.000 uu.py:31(<module>)
        9    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
       38    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
        1    0.000    0.000    0.000    0.000 defchararray.py:1669(chararray)
        9    0.000    0.000    0.000    0.000 pyparsing.py:3740(__str__)
        1    0.000    0.000    0.000    0.000 __init__.py:1628(build)
       15    0.000    0.000    0.000    0.000 pyparsing.py:3535(__str__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:428(_construct_char_code_lookup)
        3    0.000    0.000    0.001    0.000 __init__.py:1839(_has)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
       17    0.000    0.000    0.000    0.000 {method 'get' of 'dictproxy' objects}
        1    0.000    0.000    0.071    0.071 __init__.py:637(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2522(Distribution)
       36    0.000    0.000    0.000    0.000 pyparsing.py:186(__init__)
        8    0.000    0.000    0.000    0.000 core.py:7978(getdoc)
       22    0.000    0.000    0.002    0.000 __init__.py:2087(safe_listdir)
        1    0.000    0.000    0.001    0.001 case.py:131(TestCase)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3327(And)
        1    0.000    0.000    0.000    0.000 pickle.py:833(Unpickler)
       30    0.000    0.000    0.000    0.000 getlimits.py:70(<lambda>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:589(get_platform)
        1    0.000    0.000    0.000    0.000 zipfile.py:201(_EndRecData)
        4    0.000    0.000    0.001    0.000 __init__.py:1958(find_eggs_in_zip)
        8    0.000    0.000    0.000    0.000 pyparsing.py:3894(__init__)
       17    0.000    0.000    0.000    0.000 pyparsing.py:2710(charsAsStr)
       23    0.000    0.000    0.000    0.000 {_struct.calcsize}
     16/2    0.000    0.000    0.001    0.000 pyparsing.py:3696(parseImpl)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 format.py:149(<module>)
        9    0.000    0.000    0.000    0.000 core.py:2569(_arraymethod)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
       26    0.000    0.000    0.001    0.000 core.py:6493(__init__)
       24    0.000    0.000    0.000    0.000 pyparsing.py:388(__getitem__)
       43    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
        4    0.000    0.000    0.000    0.000 re.py:208(escape)
        1    0.000    0.000    0.000    0.000 ssl.py:530(SSLSocket)
        6    0.000    0.000    0.000    0.000 six.py:126(__init__)
       14    0.000    0.000    0.001    0.000 pyparsing.py:1985(__call__)
        6    0.000    0.000    0.000    0.000 numeric.py:2667(seterr)
        5    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
        1    0.000    0.000    0.000    0.000 zipfile.py:726(__init__)
        2    0.000    0.000    0.000    0.000 collections.py:50(__init__)
       24    0.000    0.000    0.000    0.000 __init__.py:2322(_is_unpacked_egg)
        6    0.000    0.000    0.000    0.000 core.py:1174(__init__)
      105    0.000    0.000    0.000    0.000 {unichr}
        4    0.000    0.000    0.000    0.000 __init__.py:219(_declare_state)
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
       94    0.000    0.000    0.000    0.000 pyparsing.py:4849(<genexpr>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:379(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 _iotools.py:474(StringConverter)
        1    0.000    0.000    0.000    0.000 polynomial.py:939(poly1d)
        4    0.000    0.000    0.000    0.000 __init__.py:2730(from_filename)
       28    0.000    0.000    0.000    0.000 {sys.exc_info}
       20    0.000    0.000    0.000    0.000 mixins.py:20(_binary_method)
        1    0.000    0.000    0.071    0.071 __init__.py:650(_build_master)
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
       12    0.000    0.000    0.000    0.000 pyparsing.py:2004(suppress)
        7    0.000    0.000    0.000    0.000 pyparsing.py:4784(tokenMap)
        1    0.000    0.000    0.000    0.000 __init__.py:466(get_build_platform)
       19    0.000    0.000    0.000    0.000 tokenize.py:45(group)
        4    0.000    0.000    0.000    0.000 {method 'seek' of 'file' objects}
        1    0.000    0.000    0.000    0.000 <string>:1(DefaultVerifyPaths)
       73    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        7    0.000    0.000    0.000    0.000 {method 'find_module' of 'zipimport.zipimporter' objects}
        3    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        3    0.000    0.000    0.000    0.000 {posix.putenv}
        1    0.000    0.000    0.000    0.000 <string>:1(_Version)
       50    0.000    0.000    0.000    0.000 pyparsing.py:3540(<genexpr>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:1800(__radd__)
        1    0.000    0.000    0.000    0.000 threading.py:647(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:301(ParseResults)
        2    0.000    0.000    0.001    0.000 pyparsing.py:3818(parseImpl)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2767(geterr)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:21(<module>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:397(__setitem__)
       22    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3057(__init__)
        2    0.000    0.000    0.000    0.000 threading.py:260(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:3132(<genexpr>)
        1    0.000    0.000    0.000    0.000 pickle.py:171(Pickler)
        3    0.000    0.000    0.001    0.000 pyparsing.py:1836(__mul__)
        1    0.000    0.000    0.000    0.000 defmatrix.py:174(matrix)
       10    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       12    0.000    0.000    0.000    0.000 pyparsing.py:2390(parseImpl)
        7    0.000    0.000    0.000    0.000 specifiers.py:266(_require_version_compare)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
       13    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
        6    0.000    0.000    0.000    0.000 pyparsing.py:4740(<lambda>)
        2    0.000    0.000    0.000    0.000 core.py:6370(__init__)
        8    0.000    0.000    0.000    0.000 core.py:7973(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:634(WorkingSet)
       12    0.000    0.000    0.000    0.000 pyparsing.py:1046(wrapper)
        1    0.000    0.000    0.000    0.000 numbers.py:169(Real)
        1    0.000    0.000    0.000    0.000 subprocess.py:297(Popen)
        1    0.000    0.000    0.000    0.000 __init__.py:1040(Environment)
        1    0.000    0.000    0.004    0.004 version.py:191(Version)
        3    0.000    0.000    0.000    0.000 copy_reg.py:14(pickle)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3020(__init__)
       15    0.000    0.000    0.000    0.000 {_struct.unpack}
        1    0.000    0.000    0.000    0.000 threading.py:631(Thread)
       40    0.000    0.000    0.000    0.000 numerictypes.py:154(english_upper)
        3    0.000    0.000    0.000    0.000 utils.py:118(deprecate)
       19    0.000    0.000    0.000    0.000 __init__.py:75(__init__)
        1    0.000    0.000    0.000    0.000 collections.py:38(OrderedDict)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2922(__str__)
        1    0.000    0.000    0.000    0.000 quopri.py:3(<module>)
       18    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 <string>:1(manifest_mod)
        1    0.000    0.000    0.000    0.000 __init__.py:1201(ResourceManager)
        2    0.000    0.000    0.001    0.001 pyparsing.py:4722(srange)
       41    0.000    0.000    0.000    0.000 pyparsing.py:3398(<genexpr>)
        4    0.000    0.000    0.001    0.000 __init__.py:1719(zipinfo)
        2    0.000    0.000    0.001    0.001 pyparsing.py:1571(parseString)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3123(__init__)
       22    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        1    0.000    0.000    0.000    0.000 specifiers.py:21(BaseSpecifier)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        2    0.000    0.000    0.000    0.000 six.py:195(load_module)
        2    0.000    0.000    0.000    0.000 ssl.py:321(__new__)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        9    0.000    0.000    0.000    0.000 pyparsing.py:3800(__str__)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
        2    0.000    0.000    0.000    0.000 getlimits.py:532(max)
        1    0.000    0.000    0.000    0.000 __init__.py:1457(NullProvider)
       12    0.000    0.000    0.000    0.000 version.py:389(<genexpr>)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2335(__init__)
       11    0.000    0.000    0.000    0.000 opcode.py:31(name_op)
       20    0.000    0.000    0.000    0.000 __init__.py:15(search_path)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
       14    0.000    0.000    0.000    0.000 numerictypes.py:181(english_capitalize)
        1    0.000    0.000    0.000    0.000 iterators.py:5(<module>)
        1    0.000    0.000    0.000    0.000 zipfile.py:709(ZipFile)
        2    0.000    0.000    0.000    0.000 __init__.py:433(get_provider)
        2    0.000    0.000    0.000    0.000 __init__.py:1926(__init__)
        6    0.000    0.000    0.000    0.000 hashlib.py:100(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 urllib.py:120(URLopener)
        1    0.000    0.000    0.000    0.000 calendar.py:66(_localized_day)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        7    0.000    0.000    0.000    0.000 {numpy.core.umath.seterrobj}
       13    0.000    0.000    0.000    0.000 zipfile.py:904(getinfo)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
       18    0.000    0.000    0.000    0.000 version.py:248(<genexpr>)
       14    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
        1    0.000    0.000    0.000    0.000 __init__.py:1690(ZipProvider)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1530(resetCache)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        1    0.000    0.000    0.000    0.000 _version.py:7(<module>)
        2    0.000    0.000    0.000    0.000 helper.py:251(__init__)
       12    0.000    0.000    0.000    0.000 version.py:338(<genexpr>)
        1    0.000    0.000    0.000    0.000 <string>:1(_ASN1Object)
        3    0.000    0.000    0.000    0.000 numeric.py:3064(__enter__)
        1    0.000    0.000    0.000    0.000 __init__.py:83(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:511(_get_https_context_factory)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:2369(EntryPoint)
       22    0.000    0.000    0.000    0.000 posixpath.py:44(normcase)
        4    0.000    0.000    0.000    0.000 core.py:124(doc_note)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
       50    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
       14    0.000    0.000    0.000    0.000 mixins.py:30(_reflected_binary_method)
       13    0.000    0.000    0.000    0.000 zipfile.py:383(_decodeExtra)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2724(Regex)
        2    0.000    0.000    0.000    0.000 os.py:496(__delitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:1681(__new__)
        1    0.000    0.000    0.000    0.000 sprite.py:613(LayeredUpdates)
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 arraysetops.py:27(<module>)
        1    0.000    0.000    0.000    0.000 _compat.py:4(<module>)
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
        1    0.000    0.000    0.000    0.000 threading.py:132(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 _internal.py:240(_ctypes)
        1    0.000    0.000    0.000    0.000 calendar.py:126(Calendar)
        2    0.000    0.000    0.000    0.000 __init__.py:1464(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        2    0.000    0.000    0.000    0.000 {numpy.core.multiarray.set_string_function}
        4    0.000    0.000    0.000    0.000 pyparsing.py:3312(setResultsName)
        1    0.000    0.000    0.000    0.000 legendre.py:1790(Legendre)
        2    0.000    0.000    0.000    0.000 pkgutil.py:240(load_module)
        1    0.000    0.000    0.000    0.000 zipfile.py:158(_EndRecData64)
        1    0.000    0.000    0.001    0.001 specifiers.py:214(LegacySpecifier)
        1    0.000    0.000    0.001    0.001 __init__.py:1650(MemoizedZipManifests)
        1    0.000    0.000    0.000    0.000 urllib.py:616(FancyURLopener)
        1    0.000    0.000    0.000    0.000 specifiers.py:589(SpecifierSet)
        1    0.000    0.000    0.000    0.000 arrayprint.py:378(decorating_function)
        2    0.000    0.000    0.000    0.000 zipfile.py:1263(close)
       52    0.000    0.000    0.000    0.000 {method 'read' of 'cStringIO.StringI' objects}
        1    0.000    0.000    0.000    0.000 zipfile.py:501(ZipExtFile)
        6    0.000    0.000    0.000    0.000 __init__.py:2204(safe_sys_path_index)
        9    0.000    0.000    0.000    0.000 pyparsing.py:3976(__str__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1265(addParseAction)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 __init__.py:1608(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:3126(_initialize)
        1    0.000    0.000    0.000    0.000 threading.py:1081(__init__)
       14    0.000    0.000    0.000    0.000 {numpy.core.umath.geterrobj}
        1    0.000    0.000    0.000    0.000 tempfile.py:519(SpooledTemporaryFile)
        5    0.000    0.000    0.000    0.000 pyparsing.py:4251(__init__)
        1    0.000    0.000    0.000    0.000 _numpysndarray.py:34(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:251(NameValidator)
        7    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        3    0.000    0.000    0.000    0.000 index_tricks.py:241(__init__)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1810(Hermite)
        1    0.000    0.000    0.000    0.000 charset.py:156(Charset)
        1    0.000    0.000    0.000    0.000 numbers.py:270(Rational)
        1    0.000    0.000    0.000    0.000 laguerre.py:1760(Laguerre)
        1    0.000    0.000    0.000    0.000 __init__.py:2898(DistInfoDistribution)
        1    0.000    0.000    0.000    0.000 socket.py:239(_fileobject)
        1    0.000    0.000    0.000    0.000 core.py:6255(__new__)
       79    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
       21    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        4    0.000    0.000    0.000    0.000 pyparsing.py:1979(__invert__)
       12    0.000    0.000    0.000    0.000 {method 'groupdict' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 compat.py:13(geterror)
        1    0.000    0.000    0.000    0.000 __init__.py:337(VersionConflict)
        6    0.000    0.000    0.000    0.000 opcode.py:39(jabs_op)
        2    0.000    0.000    0.000    0.000 pyparsing.py:3962(parseImpl)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
       39    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 pyparsing.py:3215(ParseExpression)
       15    0.000    0.000    0.000    0.000 sre_parse.py:217(tell)
        1    0.000    0.000    0.000    0.000 polynomial.py:1601(Polynomial)
        1    0.000    0.000    0.000    0.000 arrayprint.py:602(FloatFormat)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.000    0.000    0.000    0.000 specifiers.py:78(_IndividualSpecifier)
       13    0.000    0.000    0.000    0.000 mixins.py:40(_inplace_binary_method)
        8    0.000    0.000    0.000    0.000 UserDict.py:103(__contains__)
        1    0.000    0.000    0.000    0.000 parser.py:17(Parser)
        2    0.000    0.000    0.186    0.093 __init__.py:3121(_call_aside)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1275(addCondition)
        1    0.000    0.000    0.000    0.000 __init__.py:1208(resource_exists)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1931(__xor__)
        1    0.000    0.000    0.000    0.000 chebyshev.py:2036(Chebyshev)
        1    0.000    0.000    0.000    0.000 tempfile.py:383(_TemporaryFileWrapper)
        1    0.000    0.000    0.000    0.000 {math.exp}
        1    0.000    0.000    0.000    0.000 feedparser.py:158(FeedParser)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3417(__init__)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1807(HermiteE)
        1    0.000    0.000    0.000    0.000 weakref.py:330(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1700(_zipinfo_name)
        1    0.000    0.000    0.000    0.000 _internal.py:210(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 tempfile.py:108(_RandomNameSequence)
        1    0.000    0.000    0.000    0.000 __init__.py:382(DistributionNotFound)
        1    0.000    0.000    0.000    0.000 sprite.py:221(DirtySprite)
        1    0.000    0.000    0.000    0.000 info.py:184(<module>)
       18    0.000    0.000    0.000    0.000 pyparsing.py:435(__bool__)
        1    0.000    0.000    0.000    0.000 warnings.py:96(simplefilter)
        4    0.000    0.000    0.000    0.000 {delattr}
        1    0.000    0.000    0.000    0.000 {posix.uname}
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4100(Forward)
        1    0.000    0.000    0.000    0.000 zipfile.py:420(_ZipDecrypter)
        2    0.000    0.000    0.000    0.000 UserDict.py:91(get)
        1    0.000    0.000    0.000    0.000 __init__.py:1224(resource_stream)
        4    0.000    0.000    0.000    0.000 six.py:91(__get__)
       12    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ssl.py:345(SSLContext)
        3    0.000    0.000    0.000    0.000 numeric.py:3069(__exit__)
        1    0.000    0.000    0.000    0.000 urllib.py:862(ftpwrapper)
        4    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:177(_ndptr)
       16    0.000    0.000    0.000    0.000 pyparsing.py:294(__getitem__)
        1    0.000    0.000    0.000    0.000 six.py:469(Module_six_moves_urllib)
        1    0.000    0.000    0.000    0.000 SmokeSimulation.py:7(SmokeSimulation)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4173(copy)
        2    0.000    0.000    0.000    0.000 threading.py:242(Condition)
        1    0.000    0.000    0.000    0.000 version.py:72(LegacyVersion)
        1    0.000    0.000    0.000    0.000 _abcoll.py:24(_hasattr)
        1    0.000    0.000    0.000    0.000 getlimits.py:62(MachArLike)
        1    0.000    0.000    0.000    0.000 plistlib.py:393(PlistParser)
        6    0.000    0.000    0.000    0.000 pyparsing.py:483(haskeys)
        2    0.000    0.000    0.000    0.000 {posix.unsetenv}
        1    0.000    0.000    0.000    0.000 arrayterator.py:20(Arrayterator)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:4(VendorImporter)
        1    0.000    0.000    0.000    0.000 threading.py:561(__init__)
        1    0.000    0.000    0.000    0.000 getlimits.py:305(finfo)
        1    0.000    0.000    0.000    0.000 sprite.py:1223(GroupSingle)
        3    0.000    0.000    0.000    0.000 os.py:472(__setitem__)
        3    0.000    0.000    0.000    0.000 numeric.py:3060(__init__)
        1    0.000    0.000    0.000    0.000 feedparser.py:43(BufferedSubFile)
        1    0.000    0.000    0.000    0.000 pyparsing.py:182(ParseBaseException)
        1    0.000    0.000    0.000    0.000 core.py:6248(MaskedConstant)
        1    0.000    0.000    0.000    0.000 sprite.py:106(Sprite)
        1    0.000    0.000    0.000    0.000 Queue.py:212(PriorityQueue)
        1    0.000    0.000    0.000    0.000 numerictypes.py:957(_register_types)
